Item,Element,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Olive Oil,Food supply quantity (kg/capita/yr),kg/cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01
Olives (including preserved),Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Onions,Food supply quantity (kg/capita/yr),kg/cap,7.98,8.32,7.96,7.54,7.19,6.68,7.1,7.59,7.87,7.91,7.66,7.46,9.1,7.49
"Oranges, Mandarines",Food supply quantity (kg/capita/yr),kg/cap,7.31,6.62,6.87,6.23,6.78,6.52,7.02,6.87,6.42,6.98,6.19,7.12,6.65,5.96
Palm Oil,Food supply quantity (kg/capita/yr),kg/cap,4.67,5.4,6.26,5.69,6.3,8.28,7.27,8.73,8.81,9.97,9.36,9.6,8.21,8.69
Palmkernel Oil,Food supply quantity (kg/capita/yr),kg/cap,0.05,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.03,0.02,0.03,0.02,0.01
Peas,Food supply quantity (kg/capita/yr),kg/cap,0.69,0.63,0.91,0.74,1.06,1.91,1.91,1.23,0.81,0.96,2.25,2.82,1.28,0.93
Pelagic Fish,Food supply quantity (kg/capita/yr),kg/cap,0.31,0.34,0.28,0.33,0.41,0.46,0.39,0.38,0.3,0.38,0.38,0.37,0.36,0.36
Pepper,Food supply quantity (kg/capita/yr),kg/cap,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.05,0.07,0.04,0.05
Pigmeat,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pimento,Food supply quantity (kg/capita/yr),kg/cap,0.82,0.27,0.62,0.58,0.6,0.6,0.56,0.55,0.57,0.39,0.56,0.41,0.53,0.38
Pineapples and products,Food supply quantity (kg/capita/yr),kg/cap,0.05,0.08,0.07,0.07,0.08,0.07,0.07,0.09,0.04,0.07,0.05,0.06,0.04,0.03
Plantains,Food supply quantity (kg/capita/yr),kg/cap,,,,,,,,0.0,,,,,,
Potatoes and products,Food supply quantity (kg/capita/yr),kg/cap,12.81,13.03,12.89,13.73,12.29,14.32,14.34,13.49,14.8,15.84,15.86,20.15,25.2,26.55
Poultry Meat,Food supply quantity (kg/capita/yr),kg/cap,3.57,3.78,4.04,4.32,4.62,4.96,5.34,5.73,6.13,6.58,7.04,7.55,8.13,8.72
"Pulses, Other and products",Food supply quantity (kg/capita/yr),kg/cap,4.43,4.67,3.25,4.29,3.02,2.99,2.8,4.38,4.09,4.21,3.94,2.18,3.52,4.54
Rape and Mustard Oil,Food supply quantity (kg/capita/yr),kg/cap,0.8,0.79,0.67,0.38,0.56,0.41,0.59,0.81,0.75,0.87,0.89,0.79,0.78,1.41
Rape and Mustardseed,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Rice and products,Food supply quantity (kg/capita/yr),kg/cap,13.17,35.19,19.0,33.33,26.71,38.37,20.83,25.23,18.12,7.57,12.34,15.76,14.22,9.9
Ricebran Oil,Food supply quantity (kg/capita/yr),kg/cap,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03
"Roots, Other",Food supply quantity (kg/capita/yr),kg/cap,1.94,1.94,1.95,1.97,1.9,1.87,1.54,1.52,1.46,1.43,0.76,1.48,1.73,1.99
Sesameseed Oil,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorghum and products,Food supply quantity (kg/capita/yr),kg/cap,0.73,0.59,0.52,0.49,0.47,0.74,1.13,0.6,0.7,0.46,0.36,0.25,0.19,0.15
Soyabean Oil,Food supply quantity (kg/capita/yr),kg/cap,0.06,0.19,0.14,0.18,0.33,0.41,0.64,1.61,1.94,1.95,1.87,1.88,1.85,1.05
Soyabeans,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Spices, Other",Food supply quantity (kg/capita/yr),kg/cap,0.68,0.59,0.71,0.64,0.74,0.85,0.77,0.75,0.79,0.75,0.77,0.92,0.82,0.82
Sugar (Raw Equivalent),Food supply quantity (kg/capita/yr),kg/cap,22.02,21.95,25.28,19.52,24.69,13.63,31.72,26.02,15.52,26.61,25.32,24.65,23.4,25.73
Sugar cane,Food supply quantity (kg/capita/yr),kg/cap,0.06,0.34,0.07,0.06,2.64,1.54,0.13,5.4,2.0,2.59,0.93,0.17,2.14,1.97
