Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2016,2016,kg/cap,20.83,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2016,2016,g/cap/d,2.84,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2016,2016,g/cap/d,0.36,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2017,2017,kg/cap,25.23,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2017,2017,g/cap/d,3.44,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2017,2017,g/cap/d,0.44,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2018,2018,kg/cap,18.12,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2018,2018,g/cap/d,2.47,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2018,2018,g/cap/d,0.32,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2019,2019,kg/cap,7.57,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2019,2019,g/cap/d,1.03,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2019,2019,g/cap/d,0.13,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2020,2020,kg/cap,12.34,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2020,2020,g/cap/d,1.68,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2020,2020,g/cap/d,0.21,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2021,2021,kg/cap,15.76,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2021,2021,g/cap/d,2.15,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2021,2021,g/cap/d,0.28,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2022,2022,kg/cap,14.22,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2022,2022,g/cap/d,1.95,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2022,2022,g/cap/d,0.25,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2807,Rice and products,2023,2023,kg/cap,9.9,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2807,Rice and products,2023,2023,g/cap/d,1.39,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2807,Rice and products,2023,2023,g/cap/d,0.21,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2010,2010,kg/cap,0.31,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2010,2010,g/cap/d,0.03,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2010,2010,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2011,2011,kg/cap,0.28,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2011,2011,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2011,2011,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2012,2012,kg/cap,0.27,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2012,2012,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2012,2012,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2013,2013,kg/cap,0.26,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2013,2013,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2013,2013,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2014,2014,kg/cap,0.25,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2014,2014,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2014,2014,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2015,2015,kg/cap,0.28,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2015,2015,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2015,2015,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2016,2016,kg/cap,0.38,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2016,2016,g/cap/d,0.03,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2016,2016,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2017,2017,kg/cap,0.24,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2017,2017,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2017,2017,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2018,2018,kg/cap,0.25,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2018,2018,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2018,2018,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2019,2019,kg/cap,0.22,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2019,2019,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2019,2019,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2020,2020,kg/cap,0.18,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2020,2020,g/cap/d,0.02,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2020,2020,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2021,2021,kg/cap,0.15,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2021,2021,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2021,2021,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2022,2022,kg/cap,0.14,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2022,2022,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2022,2022,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2513,Barley and products,2023,2023,kg/cap,0.17,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2513,Barley and products,2023,2023,g/cap/d,0.01,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2513,Barley and products,2023,2023,g/cap/d,0,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2010,2010,kg/cap,5.6,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2010,2010,g/cap/d,1.04,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2010,2010,g/cap/d,0.43,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2011,2011,kg/cap,7.07,E,Estimated value,
