Country ISO3,Year,Indicator Name,Indicator Code,Value
PAK,2005,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,94.1
PAK,2004,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,94.1
PAK,2001,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,96.9
PAK,1998,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,94.7
PAK,1996,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,96
PAK,1990,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,98.3
PAK,1987,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,98.2
PAK,2018,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,41.3
PAK,2015,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,41
PAK,2013,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,44
PAK,2011,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,47.2
PAK,2010,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,47.9
PAK,2007,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,51.4
PAK,2005,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,54
PAK,2004,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,53.9
PAK,2001,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,61
PAK,1998,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,58
PAK,1996,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,56.6
PAK,1990,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,72.2
PAK,1987,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,72.7
PAK,2018,"Survey mean consumption or income per capita, bottom 40% of population (2021 PPP $ per day)",SI.SPR.PC40,3.09
PAK,2013,"Survey mean consumption or income per capita, bottom 40% of population (2021 PPP $ per day)",SI.SPR.PC40,2.89
PAK,2018,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,1.34
PAK,2018,"Survey mean consumption or income per capita, total population (2021 PPP $ per day)",SI.SPR.PCAP,5.43
PAK,2013,"Survey mean consumption or income per capita, total population (2021 PPP $ per day)",SI.SPR.PCAP,5.1
PAK,2018,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,1.25
PAK,2014,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,38.8
PAK,2012,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,40.8
PAK,2010,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,44.7
PAK,2014,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,50.9
PAK,2012,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,50.7
PAK,2010,Multidimensional poverty intensity (average share of deprivations experienced by the poor),SI.POV.MDIM.IT,51
PAK,2014,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.197
PAK,2012,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.206856
PAK,2010,Multidimensional poverty index (scale 0-1),SI.POV.MDIM.XQ,0.22797
